2	False	2	7258300476238843182	200
0	False	0	7258294033100082478	200
7	False	7	7258280202021784875	200
0	False	0	7258274440616627498	200
27	False	27	7258273813027392814	200
39	False	39	7258272848853110058	200
5	False	5	7258272793475812651	200
6	False	6	7258271389373762859	200
2	False	2	7256887983851261226	200
19	False	19	7256885116612578606	200
0	False	0	7256882503057689898	200
0	False	{'error': {'code': 'internal_error', 'message': 'Something went wrong. Please try again later.', 'log_id': '202411090132287A4E598D4803DD486651'}}	7256881368796237099	500
0	False	0	7256881180052737326	200
99	True	99	7256880842377825582	200
105	False	6	7256880842377825582	200
10	False	10	7256878810623233323	200
7	False	7	7256878118336597290	200
99	True	99	7256876030760111402	200
197	True	98	7256876030760111402	200
296	True	99	7256876030760111402	200
314	False	18	7256876030760111402	200
1	False	1	7256874010175163694	200
28	False	28	7256870990255361322	200
12	False	12	7256866286959906094	200
12	False	12	7256865733987077422	200
4	False	4	7256865700789194027	200
4	False	4	7256863529414823211	200
1	False	1	7256862839560899886	200
3	False	3	7256862251213245742	200
0	False	0	7256859073168133422	200
5	False	5	7256857615764933931	200
1	False	1	7256856765390785834	200
4	False	4	7256854937181670699	200
0	False	0	7256850664515521838	200
2	False	2	7256840854130920750	200
9	False	9	7256840546541440299	200
0	False	0	7256839819261758766	200
54	False	54	7256837454664043818	200
11	False	11	7256836898201586987	200
24	False	24	7256832142129286443	200
8	False	8	7256831297123831083	200
0	False	0	7256827624268336427	200
10	False	10	7256824522794372395	200
80	True	80	7256823989631323435	200
166	True	86	7256823989631323435	200
204	False	38	7256823989631323435	200
95	True	95	7256820267178216750	200
194	True	99	7256820267178216750	200
241	False	47	7256820267178216750	200
32	False	32	7256818650089409835	200
1	False	1	7256817521490169131	200
9	False	9	7256816919494298922	200
0	False	0	7256816199604964651	200
10	False	10	7256814867137531182	200
6	False	6	7256811925122649386	200
5	False	5	7256810301864037678	200
7	False	7	7256809113668046123	200
0	False	0	7256806551967534378	200
2	False	2	7256803692127767854	200
0	False	0	7256801787540458798	200
8	False	8	7256800350596762922	200
8	False	8	7256796198542298414	200
8	False	8	7256795916693359918	200
7	False	7	7256794287533264170	200
11	False	11	7256791161157717290	200
1	False	1	7256786957634735402	200
63	False	63	7256786292346998062	200
10	False	10	7256780338440162606	200
3	False	3	7256779513692982571	200
61	False	61	7256776455076482347	200
7	False	7	7256766843237469482	200
9	False	9	7256766507730996526	200
4	False	4	7256763325319580970	200
0	False	0	7256761039595851050	200
0	False	0	7256758437709614378	200
8	False	8	7256736514351172906	200
8	False	8	7256735415883795755	200
1	False	1	7256725991484083499	200
35	False	35	7256721341523529002	200
